ticker,zscore,abs_zscore
MHK,-0.7,0.7
EW,-0.69,0.69
PSX,-0.68,0.68
ALB,-0.68,0.68
AON,-0.68,0.68
CRL,-0.68,0.68
CI,-0.67,0.67
PLTR,-0.67,0.67
DFS,-0.67,0.67
CME,0.66,0.66
COF,-0.66,0.66
CCI,-0.65,0.65
CZR,-0.65,0.65
AZO,-0.65,0.65
D,-0.65,0.65
SLB,-0.65,0.65
AWK,-0.64,0.64
NUE,-0.63,0.63
HUM,-0.63,0.63
MDT,-0.63,0.63
FSLR,-0.63,0.63
CMS,-0.62,0.62
ENPH,-0.62,0.62
MKC,-0.62,0.62
MSI,-0.61,0.61
CDW,-0.61,0.61
AMAT,-0.61,0.61
WEC,-0.61,0.61
RJF,-0.6,0.6
ANSS,-0.6,0.6
HES,-0.59,0.59
MPWR,-0.59,0.59
STZ,-0.58,0.58
TT,-0.58,0.58
F,-0.57,0.57
CVX,-0.57,0.57
EVRG,0.57,0.57
SRE,-0.56,0.56
OXY,-0.56,0.56
TSN,-0.56,0.56
BKR,-0.56,0.56
UNH,-0.55,0.55
APH,-0.55,0.55
WAB,-0.54,0.54
PANW,-0.54,0.54
NRG,0.53,0.53
GL,-0.53,0.53
OKE,0.52,0.52
WST,-0.52,0.52
KEY,-0.52,0.52
PODD,-0.51,0.51
DVN,-0.51,0.51
AVGO,-0.5,0.5
HAL,-0.49,0.49
PARA,-0.49,0.49
LMT,-0.48,0.48
STX,-0.48,0.48
HRL,-0.47,0.47
KDP,-0.47,0.47
DLR,-0.46,0.46
EA,-0.45,0.45
VMC,0.45,0.45
ABBV,-0.44,0.44
ELV,0.44,0.44
JNPR,-0.43,0.43
CPAY,-0.43,0.43
CEG,-0.43,0.43
RCL,-0.43,0.43
BMY,-0.42,0.42
WMB,0.42,0.42
ATO,-0.42,0.42
MNST,-0.41,0.41
ES,-0.41,0.41
WRB,-0.41,0.41
DOC,-0.4,0.4
VTR,-0.39,0.39
MU,0.38,0.38
TFX,-0.37,0.37
BA,0.37,0.37
EIX,-0.37,0.37
EQT,0.36,0.36
XOM,-0.36,0.36
VST,0.35,0.35
PCG,0.34,0.34
HWM,-0.34,0.34
SCHW,-0.34,0.34
CBOE,0.34,0.34
STLD,-0.33,0.33
GDDY,-0.33,0.33
CVS,-0.33,0.33
NVDA,0.33,0.33
APO,-0.32,0.32
AMD,-0.32,0.32
GEV,0.32,0.32
CTRA,0.31,0.31
HIG,-0.31,0.31
CF,-0.31,0.31
FMC,-0.3,0.3
AEP,-0.3,0.3
ACGL,-0.29,0.29
BRO,-0.29,0.29
MKTX,0.29,0.29
GLW,-0.29,0.29
L,-0.28,0.28
MRNA,-0.28,0.28
MPC,-0.28,0.28
FANG,0.28,0.28
ETR,0.27,0.27
WELL,-0.27,0.27
VLO,-0.27,0.27
KVUE,-0.26,0.26
MO,0.26,0.26
ZBH,-0.26,0.26
CINF,0.26,0.26
SMCI,0.26,0.26
MOS,-0.25,0.25
FE,0.25,0.25
TDG,-0.25,0.25
AJG,-0.25,0.25
TRV,-0.24,0.24
